mode,md_cal,ch,fre,bw,md_n,rate,p_len,target_power,of1,of2,of3
11ac MCS9 VHT80,4,42,5210,2,4,9,16384,13,2,1,0
11ac MCS9 VHT80,4,58,5290,2,4,9,16384,13,2,1,1
11ac MCS9 VHT80,4,106,5530,2,4,9,16384,13,2,1,2
11ac MCS9 VHT80,4,122,5610,2,4,9,16384,13,2,1,3
11ac MCS9 VHT80,4,138,5690,2,4,9,16384,13,2,1,4
11ac MCS9 VHT80,4,155,5775,2,4,9,16384,13,2,1,5
11n MCS7 HT20,4,42,5210,0,2,7,4096,15,2,2,0
11n MCS7 HT20,4,58,5290,0,2,7,4096,15,2,2,1
11n MCS7 HT20,4,106,5530,0,2,7,4096,15,2,2,2
11n MCS7 HT20,4,122,5610,0,2,7,4096,15,2,2,3
11n MCS7 HT20,4,138,5690,0,2,7,4096,15,2,2,4
11n MCS7 HT20,4,155,5775,0,2,7,4096,15,2,2,5
11a 6M,1,42,5210,0,0,4,1024,17.5,2,0,0
11a 6M,1,58,5290,0,0,4,1024,17.5,2,0,1
11a 6M,1,106,5530,0,0,4,1024,17.5,2,0,2
11a 6M,1,122,5610,0,0,4,1024,17.5,2,0,3
11a 6M,1,138,5690,0,0,4,1024,17.5,2,0,4
11a 6M,1,155,5775,0,0,4,1024,17.5,2,0,5
11g 54M,1,1,2412,0,0,11,1024,16,1,1,0
11g 54M,1,7,2442,0,0,11,1024,16,1,1,1
11g 54M,1,13,2472,0,0,11,1024,16,1,1,2
11g 6M,1,1,2412,0,0,4,1024,18,1,2,0
11g 6M,1,7,2442,0,0,4,1024,18,1,2,1
11g 6M,1,13,2472,0,0,4,1024,18,1,2,2
11b 11M,1,1,2412,0,0,3,1024,18,1,0,0
11b 11M,1,7,2442,0,0,3,1024,18,1,0,1
11b 11M,1,13,2472,0,0,3,1024,18,1,0,2
